,id,native,language,text
1,2,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm looking for a language exchange to improve my english. I'm a school teacher, so if you are interested in learning Spanish or Catalan, just let me know."
3,6,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",i am here for learn english and i help you with italian.
15,23,Spanish<br/>Catalan,"[{'language': 'Danish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]",I am from Barcelona and I speak Spanish and Catalan. At the moment I am studying English and French. I would love to find someone to help me practice English and/or French.
22,34,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey, I'm interested in improving my English (I moved on to New York many weeks ago) and French. I'm an industrial engineer and work as a project manager. If you want to improve your Spanish skills, please just send me a message."
30,46,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm trying to improve my english conversation skills, but I don't like to study in the conventional way, during the pandemic I realized that the best way was through language exchange or by talking with someone who had the same goal, I did a lot of exchange during those 6 months and now I wanted to see to start over. I love talking about movies, music, travel and tennis. And regarding me, I'm living in Spain, but I'm from Argentina, I emigrate here with my wife in 2002 and we have 2 kids :)"
36,52,Spanish,"[{'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am Spanish but I have lived in France for 20 years. I have a high level of French in case someone wants to exchange in that language. I would like to practice English or German, if possible face to face in Seine et Marne or find somewhere in between to see us, or any messaging program. I'm not interested in flirting, what I really want is to practice languages, if you want to flirt there are applications for that better than this one and where you won't find me because I'm not intereste"
42,62,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Victor from Mexico &amp; I'm here to learn and practice more English. I speak a lot of Spanish because it is my mother tongue. Actually, I just finished a Bachelor's Degree in Computer Engineering at the University of Guadalajara."
43,63,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to practice e improve my english skill and I will be happy to help you with Italian. Feel free to contact me.
53,74,Italian,"[{'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey there ! I'm a 45 years high educated man living in Milan, Italy, very interested in finding a reliable and funny language partner for practicing English and German. I believe a Language Exchange needs to be more about communication than about rules. Attitude to socialize and to be really open-mind with a great curiosity in what is happening beyond the Italian borders. Other passions are theatre, movies, history and travelling !"
55,76,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",Hello i would like to improve my English language . My level is intermediate. We could use WhatsApp to have conversation. I need to speak with native speaker very patient with me. I hope i will ear from you very soon !
57,78,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi I’m Yoyo, I really need to improve my english and I also love making new friends, so please feel free to contact me if you want to learn french or if you just want to make friends !"
58,80,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi there! I'm looking to practice English. In return, I can help you with your Spanish! I'm currently a uni student so any general tips or advice that may be helpful are welcome! Have a lovely day :)"
60,84,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I am here to improve my english and to learn russian, and why not, to make some new friends."
64,89,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I am looking for kind penpals living in Madrid. Thanks"
66,91,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, Native french speaker, I'd be glad to help you to improve your french."
68,93,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I have to improve my english for my job
70,95,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Learning English is a challenge for me. I am looking for someone who is brave to help me and who needs my Italian.
74,100,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I should like to keep my English up to date and not to lose it completely.I like to help foreigners to practice Italian.
79,107,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",Hi I want to practise my English skills and I can help with your Spanish in return
80,108,Italian,"[{'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to practice English so if you want to talk about your country we can practice english together. I'm studying korean...I can read but i don't understand anything :D I studied alphabet and when i have free time I will start to study grammar (I bought a Korean grammar book)
81,109,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I’m an honest person, loyal, happy, . I want to improve my English and make new friends around the world. I’m willing to help anyone with their Spanish"
82,110,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]","Ok, that's me: I'm trying to keep up with the languages I studied but sadly I don't get the chance to practice them as often, and you know, if you don't practice regularly they totally slip! I'd love to meet up with native speakers interested in learning Italian and willing to help me out with their language! my idea would be learning through conversation, using the language in everyday life, perhaps over a coffee or wine or maybe doing something else around the city, keeping it light and fun!"
83,111,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Dutch', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I work in an import/export Dutch food company. I would need to practice my spoken english . I live in Tuscany between Pisa and Florence.
84,113,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I ‘m Monica from Italy I would like to improve my English and, of course, I’ll can help you with your italian The curiosity is my passion: I love sailing, skiing, swimming, visiting exhibitions art, museums, travelling of course, listening music, theatre… I hope you’ll text me ?"
